id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,liveness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,0.08,0.02,0.05
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,0.05,0.85,0.03
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,55,2000,0.15,0.04,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2020,0.04,0.88,0.02
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020,0.09,0.03,0.08
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2010,0.06,0.92,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,48,1990,0.35,0.45,0.12
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,61,2010,0.07,0.78,0.04
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,73,2020,0.05,0.82,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,69,2010,0.12,0.05,0.06
11,Golden Era,Crate Digger,hip-hop,nostalgic,0.68,95,0.62,0.80,0.15,74,2000,0.18,0.08,0.28
12,Moonlight Study,Ivory Keys,classical,peaceful,0.18,54,0.55,0.22,0.97,52,1970,0.22,0.95,0.02
13,Velvet Nights,Sable Monroe,r&b,romantic,0.55,88,0.72,0.74,0.30,66,2000,0.10,0.06,0.09
14,Iron Curtain,Warhead,metal,angry,0.98,180,0.22,0.50,0.04,58,2000,0.28,0.12,0.12
15,Old Dirt Road,The Hollow Pines,folk,melancholic,0.25,68,0.35,0.38,0.93,44,1980,0.45,0.08,0.10
16,Drop Zone,Pulse Engine,edm,euphoric,0.95,140,0.88,0.95,0.03,88,2020,0.06,0.55,0.04
17,Porch Swing Days,Dusty Reel,country,nostalgic,0.45,98,0.68,0.60,0.75,51,1990,0.38,0.10,0.07
18,Broken Hallelujah,Clara Voss,soul,sad,0.38,72,0.28,0.42,0.58,57,2010,0.30,0.04,0.08
19,Island Breeze,Tide & Root,reggae,peaceful,0.32,82,0.76,0.65,0.68,46,1990,0.25,0.20,0.05
20,Empty Glass Blues,Hound & Rye,blues,melancholic,0.30,76,0.32,0.44,0.82,38,1970,0.42,0.15,0.09
